Building Type(0),Space Type(1),Default Schedule(2),Alias(3),Ventilation Name(4),Outdoor Air Flow per Person (m3/s)(5),Outdoor Air Flow per Floor Area(m3/s)(6),Outdoor Air Flow (m3/s)(7),Outdoor Air Flow  Air Changes per Hour (1/h)(8),People Defination(9),People/m2(10),Lights Defination(11),Lights(W/m2)(12),Lights_sch(13),people_act_sch(14),people_sch(15)
Thai Hospital,TH-2016-Hospital-Patient Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Patient Room,TH-MinReg39-Hospital-Patient Room-Ventilation,0,0,0,2,90.1-2007-Hospital-PatRoom People Definition,0.05382,90.1-2007-Hospital-Patient Room-Lights Definition,8,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Operating Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Operating Room,TH-MinReg39-Hospital-Operating Room-Ventilation,0,0,0,8,90.1-2007-Hospital-OR People Definition,0.05382,90.1-2007-Hospital-Operating Room-Lights Definition,24,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Emergency Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Emergency Room,TH-MinReg39-Hospital-Emergency Room-Ventilation,0,0,0,5,90.1-2007-Hospital-ER_Exam People Definition,0.215278,90.1-2007-Hospital-Emergency Room-Lights Definition,29,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-ICU ,Thai Hospital Schedule Set,TH-MinReg39-Hospital-ICU,TH-MinReg39-Hospital-ICU-Ventilation,0,0,0,5,90.1-2007-Hospital-ICU_Open People Definition,0.215278,90.1-2007-Hospital-ICU-Lights Definition,29,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Pharmacy,Thai Hospital Schedule Set,EIT-2016-Hospital-Pharmacy,EIT-2016-Hospital-Pharmacy-Ventilation,0.0025,0.0006,0,0,EIT-2016-Hospital-Pharmacy-People Definition,0.1,90.1-2007-Hospital-Pharmacy-Lights Definition,15,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Conference,Thai Hospital Schedule Set,EIT-2016-Hospital-Conference,EIT-2016-Hospital-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hospital-Conference-People Definition,0.5,90.1-2007-Hospital-Conference-Lights Definition,14,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Corridor,Thai Hospital Schedule Set,EIT-2016-Hospital-Corridor,EIT-2016-Hospital-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Hospital-Corridor-People Definition,0,90.1-2007-Hospital-Corridor-Lights Definition,5,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Office space,Thai Hospital Schedule Set,EIT-2016-Hospital-Office space,EIT-2016-Hospital-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hospital-Office space-People Definition,0.05,90.1-2007-Hospital-Office space-Lights Definition,12,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Restaurant-Dining ,Thai Hospital Schedule Set,EIT-2016-Hospital-Restaurant-Dining,EIT-2016-Hospital-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hospital-Restaurant-Dining-People Definition,0.7,90.1-2007-Hospital-Restaurant-Dining-Lights Definition,23,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Cafeteria/Fast-food dining,Thai Hospital Schedule Set,EIT-2016-Hospital-Cafeteria/Fast-food dining,EIT-2016-Hospital-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hospital-Cafeteria/Fast-food dining-People Definition,1,90.1-2007-Hospital-Cafeteria/Fast-food dining-Lights Definition,15,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
